Date,Basin,LAT,LON,AL,CP,EP,VMAX12,MSLP12,POT12,VMPI12,VGRAD0-6,VGRAD6-12,VMAX36,ONI,logVMAX12,logMSLP12,logPOT12,logVMAX36,logVMPI12
1982-06-01,AL,21.7,-87.1,1.0,0.0,0.0,30.0,1003.0,87.0,117.0,0.8333333333333334,0.8333333333333334,75.0,0.72,3.4011973816621555,6.910750787961936,4.465908118654584,4.31748811353631,4.762173934797756
1985-07-01,AL,29.4,-64.2,1.0,0.0,0.0,30.0,1011.0,89.0,119.0,0.0,0.0,40.0,-0.49,3.4011973816621555,6.918695219020472,4.48863636973214,3.6888794541139363,4.77912349311153
1986-06-01,AL,26.2,-75.8,1.0,0.0,0.0,30.0,1005.0,72.0,102.0,0.0,0.0,45.0,-0.04,3.4011973816621555,6.912742820493176,4.276666119016055,3.8066624897703196,4.624972813284271
1988-08-01,AL,32.0,-77.5,1.0,0.0,0.0,20.0,1013.0,106.0,126.0,0.0,0.0,30.0,-1.11,2.995732273553991,6.920671504248683,4.663439094112067,3.4011973816621555,4.836281906951478
1991-07-01,AL,31.3,-79.7,1.0,0.0,0.0,25.0,1010.0,85.0,110.0,0.0,0.0,45.0,0.73,3.2188758248682006,6.917705609835305,4.442651256490317,3.8066624897703196,4.700480365792417
1992-04-01,AL,24.0,-59.0,1.0,0.0,0.0,30.0,1003.0,59.0,89.0,0.0,0.8333333333333334,45.0,1.29,3.4011973816621555,6.910750787961936,4.07753744390572,3.8066624897703196,4.48863636973214
1993-05-01,AL,21.5,-84.0,1.0,0.0,0.0,25.0,1000.0,81.0,106.0,0.0,0.0,30.0,0.7,3.2188758248682006,6.907755278982137,4.394449154672439,3.4011973816621555,4.663439094112067
1994-06-01,AL,21.7,-83.6,1.0,0.0,0.0,30.0,1008.0,116.0,146.0,0.0,0.8333333333333334,30.0,0.41,3.4011973816621555,6.915723448631314,4.7535901911063645,3.4011973816621555,4.983606621708336
1995-06-01,AL,17.4,-84.3,1.0,0.0,0.0,35.0,1003.0,109.0,144.0,0.0,0.8333333333333334,65.0,-0.03,3.5553480614894135,6.910750787961936,4.6913478822291435,4.174387269895637,4.969813299576001
1996-06-01,AL,26.8,-77.8,1.0,0.0,0.0,25.0,1009.0,101.0,126.0,0.0,0.0,35.0,-0.3,3.2188758248682006,6.9167150203536085,4.61512051684126,3.5553480614894135,4.836281906951478
1998-07-01,AL,11.3,-25.4,1.0,0.0,0.0,25.0,1009.0,102.0,127.0,0.0,0.0,35.0,-0.78,3.2188758248682006,6.9167150203536085,4.624972813284271,3.5553480614894135,4.844187086458591
1999-06-01,AL,27.1,-58.1,1.0,0.0,0.0,30.0,1010.0,61.0,91.0,0.0,0.0,50.0,-1.04,3.4011973816621555,6.917705609835305,4.110873864173311,3.912023005428146,4.51085950651685
2001-06-01,AL,27.5,-95.0,1.0,0.0,0.0,50.0,1002.0,46.0,91.0,1.6666666666666667,-0.8333333333333334,30.0,-0.12,3.912023005428146,6.90975328164481,3.828641396489095,3.4011973816621555,4.51085950651685
2002-07-01,AL,34.3,-76.8,1.0,0.0,0.0,35.0,1006.0,64.0,99.0,0.0,0.8333333333333334,50.0,0.79,3.5553480614894135,6.913737350659685,4.1588830833596715,3.912023005428146,4.59511985013459
